MiDAS Daily RMS peaks — 20240219
Total: 98 events

[RMS_below300m 欄位說明]
  來源  : 2024 backfill nc（100Hz decimated，Hole A trace 1307–1403，跳過頂部 73 ch，對應深度 ~300–700 m）
  前處理: per-file bad-channel masking(median+10×MAD) → bandpass 1–20 Hz（sosfiltfilt，逐檔獨立，非跨檔 causal filter state）
  公式  : sqrt( sum(x[ch,t]^2) / (97 ch × 100 samples) ) / DAS_SENSITIVITY
  意義  : STA/LTA 偵測峰值那一秒，97 個 channel × 100 個取樣點的 RMS 振幅
  單位  : strain rate (1/s)，已轉換為物理應變率（DAS_SENSITIVITY=7.0621e+08）
  參考值: 典型背景 ~7.08e-10–2.83e-09，大地震 > 1.13e-08

RMS stats  mean=4.380e-09  std=5.888e-09  min=2.122e-09  Q25=2.854e-09  median=3.294e-09  Q75=3.647e-09  max=5.043e-08
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label  CWA
------------------------------------------------------------------
000  2024-02-19 08:07:41    2.572e-09        noise       0
001  2024-02-19 09:10:46    3.480e-09        noise       0
002  2024-02-19 09:18:33    4.321e-09        down        0
003  2024-02-19 09:43:28    2.237e-08        up          0
004  2024-02-19 09:54:04    3.726e-09        down        0
005  2024-02-19 10:07:22    3.623e-09        up          0
006  2024-02-19 10:10:28    3.340e-09        noise       0
007  2024-02-19 10:47:55    3.517e-09        noise       0
008  2024-02-19 11:33:05    4.028e-09        noise       0
009  2024-02-19 12:07:04    2.890e-09        noise       0
010  2024-02-19 12:08:08    3.781e-09        up          0
011  2024-02-19 12:42:41    3.485e-09        noise       0
012  2024-02-19 13:12:39    3.293e-09        noise       0
013  2024-02-19 13:13:27    3.007e-09        down        0
014  2024-02-19 13:13:58    3.208e-09        down        0
015  2024-02-19 13:14:14    3.131e-09        down        0
016  2024-02-19 13:18:51    3.584e-09        noise       0
017  2024-02-19 13:22:48    3.954e-09        noise       0
018  2024-02-19 13:29:59    3.488e-09        noise       0
019  2024-02-19 13:32:03    4.021e-09        down        0
020  2024-02-19 13:35:16    4.200e-09        down        0
021  2024-02-19 13:40:59    3.294e-09        down        0
022  2024-02-19 13:50:39    2.835e-09        down        0
023  2024-02-19 14:01:17    3.453e-09        noise       0
024  2024-02-19 14:05:14    3.492e-09        noise       0
025  2024-02-19 14:08:46    3.519e-09        noise       0
026  2024-02-19 14:22:01    3.655e-09        noise       0
027  2024-02-19 14:46:01    5.043e-08        up          0
028  2024-02-19 14:53:01    3.548e-09        noise       0
029  2024-02-19 15:12:53    3.680e-09        down        0
030  2024-02-19 15:20:28    3.489e-09        down        0
031  2024-02-19 15:24:02    3.774e-09        noise       0
032  2024-02-19 15:46:50    4.084e-09        down        0
033  2024-02-19 15:54:17    3.429e-09        down        0
034  2024-02-19 15:58:16    4.491e-09        noise       0
035  2024-02-19 16:25:13    3.828e-09        up          0
036  2024-02-19 17:07:21    7.891e-09        up          0
037  2024-02-19 17:28:43    2.946e-09        noise       0
038  2024-02-19 17:29:01    2.928e-09        noise       0
039  2024-02-19 17:31:28    3.443e-09        down        0
040  2024-02-19 17:35:43    3.256e-09        noise       0
041  2024-02-19 17:39:25    3.516e-09        noise       0
042  2024-02-19 17:44:02    3.458e-09        noise       0
043  2024-02-19 17:44:16    3.339e-09        noise       0
044  2024-02-19 17:44:33    4.011e-09        noise       0
045  2024-02-19 18:17:22    2.906e-09        noise       0
046  2024-02-19 18:20:44    2.952e-09        noise       0
047  2024-02-19 18:21:45    3.081e-09        noise       0
048  2024-02-19 18:37:05    3.146e-09        noise       0
